,xCCD,yCCD,roughWokX,roughWokY
0,4390.258156462346,5168.713107920646,21.6225184933293,195.35799676085622
1,2407.117246280397,5147.336152054454,-153.1776099491805,193.14966141100035
2,3419.862163834299,4838.936756087779,-63.91116359682368,161.2906215996066
3,4390.258156462346,5168.713107920646,21.6225184933293,195.35799676085622
4,5358.392682314208,4832.15306439572,106.956867958697,160.58983584414784
5,4000.3400465841137,4836.568618144344,-12.746060833957301,161.04598233634775
6,2641.3943817429285,4172.868376030913,-132.52770395423204,92.48277270344579
7,5646.338701517787,4323.709480010915,132.3373141402429,108.06533479579424
8,6130.4372813002055,4153.190584882468,175.00724923680627,90.44996868437971
9,4964.498855653903,4158.018097984493,72.23785674803321,90.94867242413687
10,3128.254437303164,4337.017477621191,-89.614363904357,109.44011059373877
11,1712.0147567029019,4281.634292454831,-214.44607747714184,103.71877934545216
12,2641.3943817429285,4172.868376030913,-132.52770395423204,92.48277270344579
13,5544.442303350118,3821.0521853006408,123.35585276445823,56.13858340425592
14,6030.156382142048,3653.164456191098,166.16818290360857,38.79502853515563
15,1682.3511273334634,3897.477188550172,-217.06072084273762,64.0336287673662
16,4187.206982684375,3495.1325265198,3.7249646308883233,22.469621920502927
17,4574.818576915855,3491.017648467638,37.890240587629265,22.044536575338928
18,6958.94998209298,3145.9415590260824,248.0349023759573,-13.603370052424257
19,5539.980611503828,3149.0575700360137,122.9625855468853,-13.281472149521523
20,4765.234549690755,3155.682855615847,54.67408904119379,-12.597050455412324
21,3989.4833058547906,3155.5644543567564,-13.703007294094913,-12.609281836136221
22,2439.894334847416,3167.6541750703564,-150.28853673099914,-11.36035950178498
23,1576.851835622218,3171.4229168668185,-226.3597523170203,-10.971031583174776
24,4186.791573832846,2820.8909640496563,3.688349219330459,-47.1825533501445
25,4568.71980207787,2817.6537849264937,37.35267584901266,-47.51696846220456
26,6025.1629442830745,2640.4231844738947,165.72804595991647,-65.825683814639
27,1674.5233873327998,2446.3201823004483,-217.75068187904395,-85.87739388485944
28,2731.7044475022585,2662.8455427934155,-124.5674974891584,-63.50935370598944
29,5540.10978129434,2477.407923637532,122.97397096879676,-82.66589087331826
30,6115.817723270738,2139.722261948771,173.71863650727045,-117.55033319123253
31,4954.827818100062,2146.3860151772387,71.38542180611648,-116.86193761661214
32,3115.613116598497,1990.8044104350306,-90.72860872252075,-132.93421468403594
33,1674.5233873327998,2446.3201823004483,-217.75068187904395,-85.87739388485944
34,2631.3932493191655,2159.408123393791,-133.40923447143766,-115.51669547436022
35,5628.741847757957,1972.2761826761916,130.78627342416988,-134.84826365275444
36,4371.74593229426,1816.637825591709,19.990794219111603,-150.92640349149212
37,2551.654388406877,1530.0919707831079,-140.43766248568735,-180.52787455638216
38,3402.4544298104774,1484.8295660439264,-65.44553471873142,-185.20368382645225
39,4751.474060909841,1475.6156197792207,53.461197312731194,-186.1555257713665
40,5334.375161686883,1470.2269494219156,104.83988995225675,-186.7121995706317
41,4368.90914439603,1142.3717164161142,19.74075102428424,-220.58111454682796
42,1576.851835622218,3171.4229168668185,-226.3597523170203,-10.971031583174776
43,2986.9527359524236,5595.111673473596,-102.06912968445909,239.4068796482292
44,5797.843817590205,5580.792845545968,145.69144022033385,237.9276805480854
45,7189.743930210598,3139.6072290899488,268.37778954427864,-14.257734724511975
46,5771.164765011566,718.3766887131487,143.33986661629643,-264.38170120193746
47,2961.725091521948,735.3380852480494,-104.29277171821882,-262.629512920996
